Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE
MPC,pink,No noise,0.5,1.776,4.608
MPC,pink,No noise,0.75,2.42,5.281
MPC,pink,No noise,1.0,3.268,6.183
MPC,pink,No noise,2.0,5.438,8.963
MPC,pink,No noise,3.0,7.436,11.687
MPC,pink,No noise,5.0,11.03,16.419
MPC,pink,No noise,7.5,10.708,16.063
MPC,pink,No noise,10.0,10.564,15.995
MPC,pink,Delay only,0.25,4.423,9.758
MPC,pink,Delay only,0.5,6.229,11.479
MPC,pink,Delay only,0.75,7.836,13.606
MPC,pink,Delay only,1.0,9.217,15.44
MPC,pink,Delay only,2.0,11.854,18.722
MPC,pink,Delay only,3.0,13.362,20.509
MPC,pink,Delay only,5.0,14.286,21.566
MPC,pink,Delay only,7.5,14.279,21.811
MPC,pink,Delay only,10.0,14.747,22.099
MPC,pink,Sensor noise only,0.25,1.289,4.285
MPC,pink,Sensor noise only,0.5,1.891,4.652
MPC,pink,Sensor noise only,0.75,2.532,5.324
MPC,pink,Sensor noise only,1.0,3.188,6.045
MPC,pink,Sensor noise only,2.0,5.389,8.919
MPC,pink,Sensor noise only,3.0,7.49,11.722
MPC,pink,Sensor noise only,5.0,10.707,16.061
MPC,pink,Sensor noise only,7.5,11.268,16.68
MPC,pink,Sensor noise only,10.0,10.627,16.041
MPC,pink,Delay + Sensor noise,0.25,4.176,9.236
MPC,pink,Delay + Sensor noise,0.5,6.289,11.691
MPC,pink,Delay + Sensor noise,0.75,8.425,14.533
MPC,pink,Delay + Sensor noise,1.0,9.699,15.818
MPC,pink,Delay + Sensor noise,2.0,12.122,18.88
MPC,pink,Delay + Sensor noise,3.0,13.701,20.704
MPC,pink,Delay + Sensor noise,5.0,14.664,21.741
MPC,pink,Delay + Sensor noise,7.5,14.189,21.311
MPC,pink,Delay + Sensor noise,10.0,14.535,21.879
DeePC,white,No noise,0.25,3.03,5.282
DeePC,white,No noise,0.5,5.422,7.257
DeePC,white,No noise,0.75,8.412,10.862
DeePC,white,No noise,1.0,11.201,14.182
DeePC,white,No noise,2.0,23.319,29.328
DeePC,white,No noise,3.0,39.473,49.081
DeePC,white,No noise,5.0,67.029,84.001
DeePC,white,No noise,7.5,67.029,84.001
DeePC,white,No noise,10.0,67.029,84.001
DeePC,white,Delay only,0.25,12.095,16.964
DeePC,white,Delay only,0.5,22.115,30.289
DeePC,white,Delay only,0.75,33.398,44.967
DeePC,white,Delay only,1.0,42.54,56.36
DeePC,white,Delay only,2.0,60.584,76.829
DeePC,white,Delay only,3.0,63.061,79.533
DeePC,white,Delay only,5.0,65.313,82.237
DeePC,white,Delay only,7.5,65.313,82.237
DeePC,white,Delay only,10.0,65.313,82.237
DeePC,white,Sensor noise only,0.25,3.081,5.114
DeePC,white,Sensor noise only,0.5,5.446,7.287
DeePC,white,Sensor noise only,0.75,8.415,10.876
DeePC,white,Sensor noise only,1.0,11.215,14.192
DeePC,white,Sensor noise only,2.0,23.316,29.324
DeePC,white,Sensor noise only,3.0,39.483,49.086
DeePC,white,Sensor noise only,5.0,67.047,84.017
DeePC,white,Sensor noise only,7.5,67.047,84.017
DeePC,white,Sensor noise only,10.0,67.047,84.017
DeePC,white,Delay + Sensor noise,0.25,12.102,16.973
DeePC,white,Delay + Sensor noise,0.5,22.112,30.287
DeePC,white,Delay + Sensor noise,0.75,33.396,44.977
DeePC,white,Delay + Sensor noise,1.0,42.538,56.357
DeePC,white,Delay + Sensor noise,2.0,60.583,76.817
DeePC,white,Delay + Sensor noise,3.0,63.07,79.534
DeePC,white,Delay + Sensor noise,5.0,65.325,82.241
DeePC,white,Delay + Sensor noise,7.5,65.325,82.241
DeePC,white,Delay + Sensor noise,10.0,65.325,82.241
DeePC,pink,No noise,0.25,0.98,4.356
DeePC,pink,No noise,0.5,1.498,4.527
DeePC,pink,No noise,0.75,2.027,4.991
DeePC,pink,No noise,1.0,2.553,5.508
DeePC,pink,No noise,2.0,4.714,8.02
DeePC,pink,No noise,3.0,6.978,11.124
DeePC,pink,No noise,5.0,12.356,18.222
DeePC,pink,No noise,7.5,11.938,17.788
DeePC,pink,No noise,10.0,11.864,17.747
DeePC,pink,Delay only,0.25,3.492,9.134
DeePC,pink,Delay only,0.5,5.446,10.773
DeePC,pink,Delay only,0.75,7.459,13.215
DeePC,pink,Delay only,1.0,9.099,15.469
DeePC,pink,Delay only,2.0,12.617,19.988
DeePC,pink,Delay only,3.0,14.452,22.12
DeePC,pink,Delay only,5.0,15.269,23.23
DeePC,pink,Delay only,7.5,15.919,23.995
DeePC,pink,Delay only,10.0,15.772,23.7
