Controller,Noise_Type,Configuration,Frequency_Limit_Hz,MAE,RMSE,MAE_Std,RMSE_Std
DeePC,white,Delay only,1.0,42.5399885333844,56.3597608580567,2.732736592437607,3.1805466183574884
DeePC,white,Delay only,2.0,60.58421305380075,76.82859047328924,2.799498754480833,3.4818681052393017
DeePC,white,Delay only,3.0,63.06057480221317,79.53265274373108,2.5239451648552897,3.360039750891995
DeePC,white,Delay only,5.0,65.3127976445362,82.23676176521101,2.0875082162151535,3.3947267331382576
DeePC,white,Delay only,7.5,65.3127976445362,82.23676176521101,2.0875082162151535,3.3947267331382576
DeePC,white,Delay only,10.0,65.3127976445362,82.23676176521101,2.0875082162151535,3.3947267331382576
DeePC,white,No noise,0.25,3.0301660508393966,5.282146197081871,0.18767173198444329,0.9253058825639093
DeePC,white,No noise,0.5,5.421763154541329,7.257396652608804,0.3455015161790177,0.594245171001679
DeePC,white,No noise,0.75,8.411943208127528,10.861959469368625,0.6149451234624557,0.9163312283594753
DeePC,white,No noise,1.0,11.201289952934633,14.181752839212773,0.7758603728125153,0.8930021797276712
DeePC,white,No noise,2.0,23.318637650304616,29.32817464371873,1.7022113752163786,2.1877112852383074
DeePC,white,No noise,3.0,39.47328307545227,49.08124708428196,1.630905836453494,2.078048867920787
DeePC,white,No noise,5.0,67.02927333006379,84.00143128928585,2.209538507455169,2.545409768830166
DeePC,white,No noise,7.5,67.02927333006379,84.00143128928585,2.209538507455169,2.545409768830166
DeePC,white,No noise,10.0,67.02927333006379,84.00143128928585,2.209538507455169,2.545409768830166
DeePC,white,Sensor noise only,0.25,3.080582729828793,5.114454205897954,0.17439986971397856,0.8307019349362994
DeePC,white,Sensor noise only,0.5,5.446281970472404,7.287321867750487,0.34530641929141315,0.5963232026348708
DeePC,white,Sensor noise only,0.75,8.414844858578505,10.876470212449771,0.6156034498312488,0.9119590837159562
DeePC,white,Sensor noise only,1.0,11.215440819853853,14.191628378465504,0.7821318243283252,0.8925210645997539
DeePC,white,Sensor noise only,2.0,23.316419787575203,29.32394967784395,1.697207274312086,2.173201851520834
DeePC,white,Sensor noise only,3.0,39.48347880571492,49.086276905339176,1.6275939097653414,2.0667463626372484
DeePC,white,Sensor noise only,5.0,67.04661532270879,84.01662611879567,2.2191040776569495,2.5506882241249285
DeePC,white,Sensor noise only,7.5,67.04661532270879,84.01662611879567,2.2191040776569495,2.5506882241249285
DeePC,white,Sensor noise only,10.0,67.04661532270879,84.01662611879567,2.2191040776569495,2.5506882241249285
MPC,pink,Delay + Sensor noise,0.25,4.415566285269996,9.38685091167414,1.3379375698164873,1.8880373119872027
MPC,pink,Delay + Sensor noise,0.5,6.3133616074127215,11.753402331713968,1.8858171613015204,2.7933095490373203
MPC,pink,Delay + Sensor noise,0.75,8.39581198240143,14.463955452317446,2.6730241764076514,4.309827820041006
MPC,pink,Delay + Sensor noise,1.0,9.539288914492982,15.688926104222258,3.221633114533145,5.19793463809055
MPC,pink,Delay + Sensor noise,2.0,12.315510333327833,19.027529772465005,4.058740401789344,6.670466807301902
MPC,pink,Delay + Sensor noise,3.0,13.243964464003074,20.38986706341581,4.0744222555385265,6.80942403592641
MPC,pink,Delay + Sensor noise,5.0,14.21685319214092,21.34662070465106,4.46879165235191,7.250545170212264
MPC,pink,Delay + Sensor noise,7.5,15.101053518535007,22.339731147738675,5.509055302533569,8.30055245548777
MPC,pink,Delay + Sensor noise,10.0,14.2642446696815,21.704849410315063,4.382716350226399,7.248644050315197
MPC,pink,Delay only,0.25,4.238573116480035,9.50142922649664,1.5110224493557443,1.922155929415503
MPC,pink,Delay only,0.5,6.209597108809805,11.479540521509065,2.039309610183303,2.9931941560448303
MPC,pink,Delay only,0.75,8.548017572332663,14.42266182867813,3.4088440798760784,4.912773681459611
MPC,pink,Delay only,1.0,9.213548325172479,15.44462940584852,2.9894763255800636,4.79084869394771
MPC,pink,Delay only,2.0,11.856741977000993,18.72785024668533,3.882590426596614,6.746954939949666
MPC,pink,Delay only,3.0,13.533795703943252,20.6187661684184,4.267554447988435,7.07181055699254
MPC,pink,Delay only,5.0,14.088863013006579,21.485455725873887,4.404494652857486,7.238642838657866
MPC,pink,Delay only,7.5,14.562103632153898,21.977510856712186,4.572622367786853,7.497755599946563
MPC,pink,Delay only,10.0,14.388012708085956,21.7911553351411,4.595328311798954,7.521440423592673
MPC,pink,No noise,0.25,1.0450073849792276,4.211883300828576,0.3253552425916588,0.5258604618970536
MPC,pink,No noise,0.5,1.731613760396673,4.582031458614216,0.5829562899850099,0.5957955501447719
MPC,pink,No noise,0.75,2.55899984824892,5.365076063516126,0.9380507971301334,1.0293328713243555
MPC,pink,No noise,1.0,3.115251243367555,6.008151835852059,1.070667970573804,1.3971249654240798
MPC,pink,No noise,2.0,5.673217227177766,9.21642553762641,2.0793996189368036,3.0746578084658913
MPC,pink,No noise,3.0,7.409072991054941,11.684787496908358,2.422062915338828,4.190704758219527
MPC,pink,No noise,5.0,10.70411251783856,16.083993715372433,3.523639284061074,5.9152347845384075
MPC,pink,No noise,7.5,10.628164427468956,16.027556524273173,3.500339065338607,5.915042158431917
MPC,pink,No noise,10.0,11.508730421207833,17.141192056145083,4.53062624071357,6.7549013927731645
MPC,pink,Sensor noise only,0.25,1.3107602496386321,4.255358951902498,0.3098608163752318,0.5108703600260407
MPC,pink,Sensor noise only,0.5,1.8892856879950795,4.650128517155998,0.5605676010977673,0.6020580713592805
MPC,pink,Sensor noise only,0.75,2.5505749459012512,5.331260908875025,0.8097695306692888,0.9939727298169541
MPC,pink,Sensor noise only,1.0,3.2615319222599792,6.05200971432235,1.0750376276840565,1.395281198068788
MPC,pink,Sensor noise only,2.0,5.413942274452442,8.94223526236979,1.792220565232552,2.965126369713113
MPC,pink,Sensor noise only,3.0,7.6236354793876915,11.828364795894377,2.5079858689330385,4.191905487299053
MPC,pink,Sensor noise only,5.0,10.725619399442197,16.07300425709998,3.532478055287386,5.9042157508409705
MPC,pink,Sensor noise only,7.5,10.797543936858869,16.116839750724264,3.5385652419334663,5.893356115496336
MPC,pink,Sensor noise only,10.0,10.706280386853212,16.078493321638575,3.506814305784823,5.910138434447019
MPC,white,Delay + Sensor noise,0.25,15.10418259632668,20.050421644028447,0.8405808814571587,0.896718093052847
MPC,white,Delay + Sensor noise,0.5,25.97302318005049,34.322906695664074,1.533888181216154,1.848720143624603
MPC,white,Delay + Sensor noise,0.75,35.46041224539469,46.61993437669057,1.9378818321377456,2.3882535477087172
MPC,white,Delay + Sensor noise,1.0,41.79216411973158,54.56232597041844,2.2203771731915536,2.631001882572088
MPC,white,Delay + Sensor noise,2.0,52.75203854229638,66.86510299688938,1.7307714390553102,2.0582900995218125
MPC,white,Delay + Sensor noise,3.0,54.91934398516069,69.02237024269638,1.746389368804009,2.2245357354525894
MPC,white,Delay + Sensor noise,5.0,56.984771712109946,71.34331645286014,1.5295242654863297,2.28759295255615
MPC,white,Delay + Sensor noise,7.5,56.984771712109946,71.34331645286014,1.5295242654863297,2.28759295255615
MPC,white,Delay + Sensor noise,10.0,56.984771712109946,71.34331645286014,1.5295242654863297,2.28759295255615
MPC,white,Delay only,0.25,15.113223145233139,20.04612689594827,0.8491343326373199,0.9171928154648596
MPC,white,Delay only,0.5,25.985445436963353,34.33323785666339,1.5509774673902224,1.8655367496762567
MPC,white,Delay only,0.75,35.47143789128411,46.6141885287952,1.9280869635712692,2.388366115635466
MPC,white,Delay only,1.0,41.79009569880785,54.56392349094777,2.2142452132773487,2.6292339630226484
MPC,white,Delay only,2.0,52.757226378038375,66.87570710081015,1.733741022337358,2.0586191925696893
MPC,white,Delay only,3.0,54.906716044337166,69.01826635899604,1.7351062876539796,2.205622729863581
MPC,white,Delay only,5.0,56.97502792308868,71.33704583111998,1.5041426126514397,2.2725211899555675
MPC,white,Delay only,7.5,56.97502792308868,71.33704583111998,1.5041426126514397,2.2725211899555675
MPC,white,Delay only,10.0,56.97502792308868,71.33704583111998,1.5041426126514397,2.2725211899555675
MPC,white,No noise,0.25,3.9197047750671565,5.9259217933059105,0.20490908454749804,0.7049406842338671
MPC,white,No noise,0.5,7.233007718436653,9.28916052186933,0.4917808715778076,0.5719823989241578
MPC,white,No noise,0.75,11.170021287214455,14.147506017821026,0.8034248125162385,1.0395921700219584
MPC,white,No noise,1.0,14.723571251035494,18.464016922518134,1.0489242682004376,1.160677960803236
MPC,white,No noise,2.0,28.009471304786274,35.07456256619251,1.870268869618191,2.3356568466678835
MPC,white,No noise,3.0,40.53231318517133,50.66653365952563,1.565092632373682,1.80453163726402
MPC,white,No noise,5.0,56.13318493438591,70.12913253478266,1.504544825361338,1.5808405997926447
MPC,white,No noise,7.5,56.13318493438591,70.12913253478266,1.504544825361338,1.5808405997926447
MPC,white,No noise,10.0,56.13318493438591,70.12913253478266,1.504544825361338,1.5808405997926447
MPC,white,Sensor noise only,0.25,3.9784847557639593,5.813325569320636,0.2216988040892595,0.6226843954809629
MPC,white,Sensor noise only,0.5,7.246245291984875,9.307469577264943,0.4917408688691693,0.572868541567739
MPC,white,Sensor noise only,0.75,11.167827041842468,14.14926505978664,0.8013644835078721,1.0364431218464802
MPC,white,Sensor noise only,1.0,14.727914565393661,18.464397979963344,1.0523862928764216,1.1652924564893723
MPC,white,Sensor noise only,2.0,28.000664866641177,35.06318463576758,1.8645021050867074,2.320638959218107
MPC,white,Sensor noise only,3.0,40.54656023829708,50.66660648182652,1.5519224907998614,1.7901470863555766
MPC,white,Sensor noise only,5.0,56.148008172290496,70.13877598359593,1.5077624840231385,1.5811220487706028
MPC,white,Sensor noise only,7.5,56.148008172290496,70.13877598359593,1.5077624840231385,1.5811220487706028
MPC,white,Sensor noise only,10.0,56.148008172290496,70.13877598359593,1.5077624840231385,1.5811220487706028
